https://www.googleapis.com/auth/chat.memberships.app,Add and remove itself from conversations in Google Chat
https://www.googleapis.com/auth/chat.memberships.readonly,View members in Google Chat conversations.
https://www.googleapis.com/auth/chat.messages,View, compose, send, update, and delete messages, and add, view, and delete reactions to messages.
https://www.googleapis.com/auth/chat.messages.create,Compose and send messages in Google Chat
https://www.googleapis.com/auth/chat.messages.reactions,View, add, and delete reactions to messages in Google Chat
https://www.googleapis.com/auth/chat.messages.reactions.create,Add reactions to messages in Google Chat
https://www.googleapis.com/auth/chat.messages.reactions.readonly,View reactions to messages in Google Chat
https://www.googleapis.com/auth/chat.messages.readonly,View messages and reactions in Google Chat
https://www.googleapis.com/auth/chat.spaces,Create conversations and spaces and view or update metadata (including history settings) in Google Chat
https://www.googleapis.com/auth/chat.spaces.create,Create new conversations in Google Chat
https://www.googleapis.com/auth/chat.spaces.readonly,View chat and spaces in Google Chat
https://www.googleapis.com/auth/classroom.announcements,View and manage announcements in Google Classroom
https://www.googleapis.com/auth/classroom.announcements.readonly,View announcements in Google Classroom
https://www.googleapis.com/auth/classroom.courses,See, edit, create, and permanently delete your Google Classroom classes
https://www.googleapis.com/auth/classroom.courses.readonly,View your Google Classroom classes
https://www.googleapis.com/auth/classroom.coursework.me,See, create and edit coursework items including assignments, questions, and grades
https://www.googleapis.com/auth/classroom.coursework.me.readonly,View your course work and grades in Google Classroom
https://www.googleapis.com/auth/classroom.coursework.students,Manage course work and grades for students in the Google Classroom classes you teach and view the course work and grades for classes you administer
https://www.googleapis.com/auth/classroom.coursework.students.readonly,View course work and grades for students in the Google Classroom classes you teach or administer
https://www.googleapis.com/auth/classroom.courseworkmaterials,See, edit, and create classwork materials in Google Classroom
https://www.googleapis.com/auth/classroom.courseworkmaterials.readonly,See all classwork materials for your Google Classroom classes
https://www.googleapis.com/auth/classroom.guardianlinks.me.readonly,View your Google Classroom guardians
https://www.googleapis.com/auth/classroom.guardianlinks.students,View and manage guardians for students in your Google Classroom classes
https://www.googleapis.com/auth/classroom.guardianlinks.students.readonly,View guardians for students in your Google Classroom classes
https://www.googleapis.com/auth/classroom.profile.emails,View the email addresses of people in your classes
https://www.googleapis.com/auth/classroom.profile.photos,View the profile photos of people in your classes
https://www.googleapis.com/auth/classroom.push-notifications,Receive notifications about your Google Classroom data
https://www.googleapis.com/auth/classroom.rosters,Manage your Google Classroom class rosters
https://www.googleapis.com/auth/classroom.rosters.readonly,View your Google Classroom class rosters
https://www.googleapis.com/auth/classroom.student-submissions.me.readonly,View your course work and grades in Google Classroom
https://www.googleapis.com/auth/classroom.student-submissions.students.readonly,View course work and grades for students in the Google Classroom classes you teach or administer
https://www.googleapis.com/auth/classroom.topics,See, create, and edit topics in Google Classroom
https://www.googleapis.com/auth/classroom.topics.readonly,View topics in Google Classroom
https://www.googleapis.com/auth/cloud-bigtable.admin,Administer your Cloud Bigtable tables and clusters
https://www.googleapis.com/auth/cloud-bigtable.admin.cluster,Administer your Cloud Bigtable clusters
https://www.googleapis.com/auth/cloud-bigtable.admin.table,Administer your Cloud Bigtable tables
https://www.googleapis.com/auth/cloud-billing,View and manage your Google Cloud Platform billing accounts
https://www.googleapis.com/auth/cloud-billing.readonly,View your Google Cloud Platform billing accounts
https://www.googleapis.com/auth/cloud-identity.devices.lookup,See your device details
https://www.googleapis.com/auth/cloud-identity.groups,See, change, create, and delete any of the Cloud Identity Groups that you can access, including the members of each group
https://www.googleapis.com/auth/cloud-identity.groups.readonly,See any Cloud Identity Groups that you can access, including group members and their emails
https://www.googleapis.com/auth/cloud-language,Apply machine learning models to reveal the structure and meaning of text
https://www.googleapis.com/auth/cloud-platform,View and manage your data across Google Cloud Platform services
https://www.googleapis.com/auth/cloud-platform.read-only,View your data across Google Cloud services and see the email address of your Google Account
https://www.googleapis.com/auth/cloud-translation,Translate text from one language to another using Google Translate
https://www.googleapis.com/auth/cloud-vision,Apply machine learning models to understand and label images
https://www.googleapis.com/auth/cloud_debugger,Use Stackdriver Debugger
https://www.googleapis.com/auth/cloud_search,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.debug,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.indexing,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.query,Search your organization&#39;s data in the Cloud Search index
https://www.googleapis.com/auth/cloud_search.settings,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.settings.indexing,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.settings.query,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.stats,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloud_search.stats.indexing,Index and serve your organization&#39;s data with Cloud Search
https://www.googleapis.com/auth/cloudkms,View and manage your keys and secrets stored in Cloud Key Management Service
https://www.googleapis.com/auth/cloudruntimeconfig,Manage your Google Cloud Platform services&#39; runtime configuration
https://www.googleapis.com/auth/compute,View and manage your Google Compute Engine resources
https://www.googleapis.com/auth/compute.readonly,View your Google Compute Engine resources
https://www.googleapis.com/auth/contacts,See, edit, download, and permanently delete your contacts
https://www.googleapis.com/auth/contacts.other.readonly,See and download contact info automatically saved in your &#34;Other contacts&#34;
https://www.googleapis.com/auth/contacts.readonly,See and download your contacts
https://www.googleapis.com/auth/content,Manage your product listings and accounts for Google Shopping
https://www.googleapis.com/auth/dataportability.businessmessaging.conversations,Move a copy of messages between you and the businesses you have conversations with across Google services.
https://www.googleapis.com/auth/dataportability.chrome.autofill,Move a copy of the information you entered into online forms in Chrome.
https://www.googleapis.com/auth/dataportability.chrome.bookmarks,Move a copy of pages you bookmarked in Chrome.
https://www.googleapis.com/auth/dataportability.chrome.dictionary,Move a copy of words you added to Chrome&#39;s dictionary.
https://www.googleapis.com/auth/dataportability.chrome.extensions,Move a copy of extensions you installed from the Chrome Web Store.
https://www.googleapis.com/auth/dataportability.chrome.history,Move a copy of sites you visited in Chrome.
